Node_ID,SCATS Number,NB_LATITUDE,NB_LONGITUDE
0,970,-37.8676,145.09146
1,970,-37.86735,145.09195
2,970,-37.86723,145.09103
3,970,-37.86703,145.09159
4,2000,-37.85221,145.09425
5,2000,-37.85193,145.09463
6,2000,-37.85187,145.09407
7,2000,-37.8516827,145.0943457
8,2200,-37.81682,145.09802
9,2200,-37.81655,145.09831
10,2200,-37.8164799,145.0977388
11,2200,-37.81631,145.09812
12,2820,-37.7948,145.03015
13,2820,-37.79477,145.03077
14,2825,-37.78661,145.06202
15,2827,-37.78267,145.07729
16,2827,-37.7820873,145.0778256
17,2827,-37.78127,145.07688
18,2827,-37.78093,145.07733
19,2846,-37.86155,145.05751
20,2846,-37.86152,145.05851
21,2846,-37.8612671,145.058038
22,2846,-37.86088,145.05744
23,3001,-37.81495,145.0219
24,3001,-37.81469,145.02261
25,3001,-37.81457,145.02161
26,3001,-37.81441,145.02243
27,3002,-37.81545,145.02652
28,3002,-37.81521,145.02706
29,3002,-37.8151,145.02608
30,3002,-37.81489,145.02663
31,3120,-37.82315,145.05724
32,3120,-37.82295,145.05773
33,3120,-37.82284,145.05684
34,3120,-37.82264,145.05734
35,3122,-37.82404,145.06435
36,3122,-37.82379,145.06466
37,3122,-37.82374,145.06417
38,3126,-37.82804,145.09858
39,3126,-37.82778,145.09885
40,3126,-37.82772,145.0983
41,3127,-37.82535,145.07827
42,3127,-37.82527,145.07757
43,3127,-37.82506,145.078
44,3180,-37.79635,145.08352
45,3180,-37.79618,145.08328
46,3180,-37.79611,145.08372
47,3662,-37.80926,145.02729
48,3662,-37.80892,145.02704
49,3662,-37.80887,145.02793
50,3662,-37.80876,145.02757
51,3682,-37.83799,145.09681
52,3682,-37.83755,145.09741
53,3682,-37.83741,145.09626
54,3682,-37.83695,145.09699
55,3685,-37.85513,145.09376
56,3685,-37.85489,145.09413
57,3685,-37.85467,145.09384
58,3804,-37.83394,145.06233
59,3804,-37.8337,145.06275
60,3804,-37.83362,145.06202
61,3804,-37.83331,145.06247
62,3812,-37.83777,145.06115
63,3812,-37.83756,145.06057
64,3812,-37.83738,145.06119
65,3812,-37.83725,145.06055
66,4030,-37.79567,145.06111
67,4030,-37.79561,145.06251
68,4030,-37.79471,145.0612
69,4032,-37.80256,145.06117
70,4032,-37.80236,145.06167
71,4032,-37.80225,145.06081
72,4032,-37.80202,145.06127
73,4034,-37.81216,145.05933
74,4034,-37.81193,145.05982
75,4034,-37.81184,145.05901
76,4034,-37.81147,145.05946
77,4035,-37.81912,145.05801
78,4035,-37.8188,145.05739
79,4035,-37.81744,145.05873
80,4035,-37.8172654,145.0583603
81,4040,-37.83323,145.05532
82,4040,-37.83312,145.05571
83,4040,-37.83294,145.05594
84,4040,-37.83284,145.05505
85,4040,-37.83256,145.05545
86,4040,-37.83254,145.05507
87,4043,-37.84741,145.05263
88,4043,-37.84726,145.05308
89,4043,-37.84714,145.05205
90,4043,-37.84683,145.05275
91,4051,-37.79419,145.0696
92,4051,-37.79418,145.06955
93,4051,-37.79406,145.06885
94,4057,-37.80564,145.08171
95,4057,-37.80508,145.08246
96,4057,-37.80487,145.08092
97,4057,-37.80431,145.08197
98,4063,-37.81476,145.07996
99,4063,-37.8144,145.08045
100,4063,-37.81429,145.07951
101,4063,-37.81404,145.0801
102,4262,-37.82155,145.01503
103,4263,-37.8232985,145.0250328
104,4263,-37.82313,145.02565
105,4263,-37.82295,145.02402
106,4263,-37.8228462,145.0251292
107,4264,-37.82441,145.03399
108,4264,-37.82416,145.03445
109,4264,-37.82405,145.03349
110,4264,-37.82389,145.03409
111,4266,-37.82542,145.04346
112,4266,-37.82529,145.04387
113,4266,-37.82518,145.04301
114,4266,0.0,0.0
115,4270,-37.83095,145.03278
116,4270,-37.8303,145.03336
117,4270,-37.83015,145.03208
118,4270,-37.82951,145.03304
119,4272,-37.83199,145.04636
120,4272,-37.83186,145.04668
121,4272,-37.8318,145.04614
122,4273,-37.84686,145.04508
123,4273,-37.84632,145.04378
124,4321,-37.8010857,145.048755
125,4321,-37.80086,145.04962
126,4321,-37.800776,145.0494611
127,4321,-37.80063,145.04864
128,4324,-37.809547,145.036785
129,4324,-37.809274,145.037306
130,4324,-37.809176,145.036452
131,4335,-37.80624,145.03518
132,4335,-37.80619,145.03532
133,4812,-37.82912,145.01576
134,4812,-37.82903,145.01456
135,4812,-37.82859,145.01644
136,4821,-37.81312,145.00844
137,4821,-37.81296,145.0083
138,4821,-37.81293,145.00865
139,4821,-37.81285,145.00849
