1. Loading Tensors and Adjacency Matrix...
2. Normalizing the Spatial Map...
3. Building DataLoaders (Batch Size: 256)...
4. Initializing STGCN Model and Optimizer...

--- STARTING TRAINING (150 EPOCHS) ---
Epoch [  1/150] | Train MSE: 0.063208 | Val MSE: 0.028603
Epoch [  2/150] | Train MSE: 0.027489 | Val MSE: 0.017274
Epoch [  3/150] | Train MSE: 0.018161 | Val MSE: 0.018438
Epoch [  4/150] | Train MSE: 0.015239 | Val MSE: 0.014138
Epoch [  5/150] | Train MSE: 0.013883 | Val MSE: 0.014969
Epoch [  6/150] | Train MSE: 0.016014 | Val MSE: 0.013698
Epoch [  7/150] | Train MSE: 0.013262 | Val MSE: 0.013688
Epoch [  8/150] | Train MSE: 0.014062 | Val MSE: 0.013074
Epoch [  9/150] | Train MSE: 0.012587 | Val MSE: 0.012758
Epoch [ 10/150] | Train MSE: 0.012504 | Val MSE: 0.012997
Epoch [ 11/150] | Train MSE: 0.013545 | Val MSE: 0.015271
Epoch [ 12/150] | Train MSE: 0.013114 | Val MSE: 0.012510
Epoch [ 13/150] | Train MSE: 0.012158 | Val MSE: 0.012233
Epoch [ 14/150] | Train MSE: 0.012126 | Val MSE: 0.013069
Epoch [ 15/150] | Train MSE: 0.013116 | Val MSE: 0.012198
Epoch [ 16/150] | Train MSE: 0.011735 | Val MSE: 0.012020
Epoch [ 17/150] | Train MSE: 0.011594 | Val MSE: 0.011913
Epoch [ 18/150] | Train MSE: 0.012428 | Val MSE: 0.014154
Epoch [ 19/150] | Train MSE: 0.012925 | Val MSE: 0.011975
Epoch [ 20/150] | Train MSE: 0.011499 | Val MSE: 0.011974
Epoch [ 21/150] | Train MSE: 0.011668 | Val MSE: 0.012157
Epoch [ 22/150] | Train MSE: 0.011849 | Val MSE: 0.012622
Epoch [ 23/150] | Train MSE: 0.012494 | Val MSE: 0.011997
Epoch [ 24/150] | Train MSE: 0.011430 | Val MSE: 0.011791
Epoch [ 25/150] | Train MSE: 0.011315 | Val MSE: 0.011908
Epoch [ 26/150] | Train MSE: 0.011738 | Val MSE: 0.012261
Epoch [ 27/150] | Train MSE: 0.012103 | Val MSE: 0.012518
Epoch [ 28/150] | Train MSE: 0.011647 | Val MSE: 0.011873
Epoch [ 29/150] | Train MSE: 0.011624 | Val MSE: 0.012251
Epoch [ 30/150] | Train MSE: 0.011763 | Val MSE: 0.012129
Epoch [ 31/150] | Train MSE: 0.011422 | Val MSE: 0.011866
Epoch [ 32/150] | Train MSE: 0.011330 | Val MSE: 0.011947
Epoch [ 33/150] | Train MSE: 0.011375 | Val MSE: 0.012011
Epoch [ 34/150] | Train MSE: 0.012096 | Val MSE: 0.012731
Epoch [ 35/150] | Train MSE: 0.011650 | Val MSE: 0.011894
Epoch [ 36/150] | Train MSE: 0.011366 | Val MSE: 0.011752
Epoch [ 37/150] | Train MSE: 0.011566 | Val MSE: 0.012271
Epoch [ 38/150] | Train MSE: 0.011641 | Val MSE: 0.012262
Epoch [ 39/150] | Train MSE: 0.011630 | Val MSE: 0.012144
Epoch [ 40/150] | Train MSE: 0.011546 | Val MSE: 0.012048
Epoch [ 41/150] | Train MSE: 0.011537 | Val MSE: 0.012005
Epoch [ 42/150] | Train MSE: 0.011417 | Val MSE: 0.011787
Epoch [ 43/150] | Train MSE: 0.011307 | Val MSE: 0.011614
Epoch [ 44/150] | Train MSE: 0.011224 | Val MSE: 0.012106
Epoch [ 45/150] | Train MSE: 0.011477 | Val MSE: 0.012063
Epoch [ 46/150] | Train MSE: 0.012010 | Val MSE: 0.012841
Epoch [ 47/150] | Train MSE: 0.011673 | Val MSE: 0.011655
Epoch [ 48/150] | Train MSE: 0.011100 | Val MSE: 0.011692
Epoch [ 49/150] | Train MSE: 0.011113 | Val MSE: 0.011611
Epoch [ 50/150] | Train MSE: 0.011089 | Val MSE: 0.011610
Epoch [ 51/150] | Train MSE: 0.011220 | Val MSE: 0.012059
Epoch [ 52/150] | Train MSE: 0.012224 | Val MSE: 0.012766
Epoch [ 53/150] | Train MSE: 0.011481 | Val MSE: 0.011642
Epoch [ 54/150] | Train MSE: 0.011066 | Val MSE: 0.011583
Epoch [ 55/150] | Train MSE: 0.011128 | Val MSE: 0.011805
Epoch [ 56/150] | Train MSE: 0.011443 | Val MSE: 0.012259
Epoch [ 57/150] | Train MSE: 0.011613 | Val MSE: 0.011974
Epoch [ 58/150] | Train MSE: 0.011275 | Val MSE: 0.011591
Epoch [ 59/150] | Train MSE: 0.011010 | Val MSE: 0.011616
Epoch [ 60/150] | Train MSE: 0.011072 | Val MSE: 0.011844
Epoch [ 61/150] | Train MSE: 0.011710 | Val MSE: 0.012990
Epoch [ 62/150] | Train MSE: 0.012045 | Val MSE: 0.011612
Epoch [ 63/150] | Train MSE: 0.011002 | Val MSE: 0.011635
Epoch [ 64/150] | Train MSE: 0.011027 | Val MSE: 0.011583
