--- STARTING TRAINING (150 EPOCHS) ---
Epoch [  1/150] | Train MSE: 0.051675 | Val MSE: 0.024039
Epoch [  2/150] | Train MSE: 0.024502 | Val MSE: 0.016261
Epoch [  3/150] | Train MSE: 0.014981 | Val MSE: 0.014250
Epoch [  4/150] | Train MSE: 0.014982 | Val MSE: 0.025013
Epoch [  5/150] | Train MSE: 0.016284 | Val MSE: 0.013336
Epoch [  6/150] | Train MSE: 0.013009 | Val MSE: 0.013129
Epoch [  7/150] | Train MSE: 0.013006 | Val MSE: 0.013111
Epoch [  8/150] | Train MSE: 0.012688 | Val MSE: 0.013947
Epoch [  9/150] | Train MSE: 0.013739 | Val MSE: 0.014024
Epoch [ 10/150] | Train MSE: 0.013086 | Val MSE: 0.012735
Epoch [ 11/150] | Train MSE: 0.012297 | Val MSE: 0.012807
Epoch [ 12/150] | Train MSE: 0.012088 | Val MSE: 0.012171
Epoch [ 13/150] | Train MSE: 0.012135 | Val MSE: 0.013550
Epoch [ 14/150] | Train MSE: 0.013275 | Val MSE: 0.012701
Epoch [ 15/150] | Train MSE: 0.011832 | Val MSE: 0.012002
Epoch [ 16/150] | Train MSE: 0.011569 | Val MSE: 0.011965
Epoch [ 17/150] | Train MSE: 0.011976 | Val MSE: 0.013344
Epoch [ 18/150] | Train MSE: 0.013255 | Val MSE: 0.012219
Epoch [ 19/150] | Train MSE: 0.011496 | Val MSE: 0.011847
Epoch [ 20/150] | Train MSE: 0.011366 | Val MSE: 0.011790
Epoch [ 21/150] | Train MSE: 0.011556 | Val MSE: 0.013049
Epoch [ 22/150] | Train MSE: 0.012628 | Val MSE: 0.012164
Epoch [ 23/150] | Train MSE: 0.011520 | Val MSE: 0.011810
Epoch [ 24/150] | Train MSE: 0.011504 | Val MSE: 0.012265
Epoch [ 25/150] | Train MSE: 0.011844 | Val MSE: 0.011965
Epoch [ 26/150] | Train MSE: 0.011325 | Val MSE: 0.011854
Epoch [ 27/150] | Train MSE: 0.011440 | Val MSE: 0.012429
Epoch [ 28/150] | Train MSE: 0.011852 | Val MSE: 0.012230
Epoch [ 29/150] | Train MSE: 0.011536 | Val MSE: 0.011899
Epoch [ 30/150] | Train MSE: 0.011385 | Val MSE: 0.011734
Epoch [ 31/150] | Train MSE: 0.011542 | Val MSE: 0.012527
Epoch [ 32/150] | Train MSE: 0.011792 | Val MSE: 0.012346
Epoch [ 33/150] | Train MSE: 0.011652 | Val MSE: 0.011826
Epoch [ 34/150] | Train MSE: 0.011262 | Val MSE: 0.011753
Epoch [ 35/150] | Train MSE: 0.011256 | Val MSE: 0.012053
Epoch [ 36/150] | Train MSE: 0.011938 | Val MSE: 0.012275
Epoch [ 37/150] | Train MSE: 0.011531 | Val MSE: 0.011805
Epoch [ 38/150] | Train MSE: 0.011175 | Val MSE: 0.011631
Epoch [ 39/150] | Train MSE: 0.011108 | Val MSE: 0.011610
Epoch [ 40/150] | Train MSE: 0.011225 | Val MSE: 0.012160
Epoch [ 41/150] | Train MSE: 0.011773 | Val MSE: 0.012468
Epoch [ 42/150] | Train MSE: 0.012022 | Val MSE: 0.011766
Epoch [ 43/150] | Train MSE: 0.011114 | Val MSE: 0.011620
Epoch [ 44/150] | Train MSE: 0.011083 | Val MSE: 0.011699
Epoch [ 45/150] | Train MSE: 0.011130 | Val MSE: 0.011657
Epoch [ 46/150] | Train MSE: 0.011444 | Val MSE: 0.012773
Epoch [ 47/150] | Train MSE: 0.011976 | Val MSE: 0.011974
Epoch [ 48/150] | Train MSE: 0.011377 | Val MSE: 0.011728
Epoch [ 49/150] | Train MSE: 0.011062 | Val MSE: 0.011602
Epoch [ 50/150] | Train MSE: 0.011041 | Val MSE: 0.011585
Epoch [ 51/150] | Train MSE: 0.011039 | Val MSE: 0.011596
Epoch [ 52/150] | Train MSE: 0.011193 | Val MSE: 0.012795
